iter	Passed	Remaining
0	0	725
1	1	642
2	1	602
3	2	575
4	2	593
5	3	604
6	4	591
7	4	580
8	5	575
9	5	566
10	6	559
11	6	554
12	7	550
13	7	546
14	8	540
15	8	540
16	9	538
17	9	537
18	10	535
19	10	532
20	11	531
21	11	530
22	12	529
23	13	528
24	13	528
25	14	527
26	14	524
27	15	522
28	15	522
29	16	521
30	16	520
31	17	519
32	17	518
33	18	516
34	18	514
35	19	513
36	19	511
37	20	510
38	20	509
39	21	508
40	21	507
41	22	507
42	22	506
43	23	505
44	23	504
45	24	504
46	24	503
47	25	501
48	25	501
49	26	501
50	26	500
51	27	500
52	28	500
53	28	500
54	29	499
55	29	498
56	30	497
57	30	496
58	31	495
59	31	494
60	32	493
61	32	492
62	33	492
63	33	491
64	34	491
65	34	491
66	35	491
67	35	490
68	36	489
69	36	489
70	37	488
71	37	487
72	38	486
73	38	485
74	39	485
75	40	486
76	40	485
77	41	485
78	41	485
79	42	484
80	42	483
81	43	482
82	43	479
83	43	478
84	44	478
85	44	477
86	45	477
87	46	478
88	46	477
89	47	477
90	47	477
91	48	476
92	48	475
93	49	474
94	49	474
95	50	473
96	50	472
97	51	471
98	51	472
99	52	473
100	53	473
101	53	473
102	54	472
103	54	472
104	55	471
105	55	471
106	56	470
107	56	469
108	57	468
109	57	468
110	58	468
111	58	467
112	59	466
113	60	466
114	60	466
115	61	465
116	61	463
117	62	464
118	62	465
119	63	464
120	63	463
121	64	462
122	64	461
123	65	461
124	65	460
125	66	460
126	66	458
127	67	457
128	67	456
129	68	455
130	68	454
131	69	453
132	69	452
133	69	451
134	70	451
135	70	450
136	71	449
137	71	448
138	72	447
139	72	446
140	73	445
141	73	443
142	73	442
143	74	441
144	74	441
145	75	440
146	75	439
147	76	438
148	76	438
149	77	437
150	77	436
151	78	435
152	78	435
153	79	434
154	79	433
155	79	432
156	80	431
157	80	430
158	81	429
159	81	428
160	82	428
161	82	428
162	83	427
163	83	426
164	84	425
165	84	425
166	85	424
167	85	423
168	85	422
169	86	421
170	86	421
171	87	420
172	87	419
173	88	418
174	88	418
175	89	417
176	89	416
177	90	416
178	90	415
179	90	414
180	91	413
181	91	412
182	92	412
183	92	411
184	93	410
185	93	409
186	94	408
187	94	408
188	95	410
189	96	410
190	96	409
191	97	408
192	97	408
193	98	407
194	98	406
195	98	405
196	99	404
197	99	404
198	100	404
199	101	404
200	101	403
201	102	402
202	102	402
203	102	401
204	103	400
205	103	400
206	104	399
207	104	398
208	105	397
209	105	397
210	105	396
211	106	395
212	107	395
213	107	395
214	108	394
215	108	394
216	109	394
217	109	394
218	110	393
219	110	393
220	111	392
221	111	391
222	112	391
223	112	390
224	113	390
225	113	389
226	114	389
227	114	388
228	115	387
229	115	387
230	116	386
231	116	385
232	117	385
233	117	384
234	117	383
235	118	382
236	118	382
237	119	381
238	119	381
239	120	380
240	120	379
241	121	379
242	121	378
243	122	378
244	122	377
245	122	376
246	123	375
247	123	375
248	124	374
249	124	373
250	125	373
251	125	372
252	126	372
253	126	371
254	126	370
255	127	370
256	127	369
257	128	368
258	128	368
259	129	367
260	129	366
261	129	366
262	130	365
263	130	364
264	131	364
265	131	363
266	132	363
267	132	362
268	133	361
269	133	361
270	134	360
271	134	359
272	134	359
273	135	358
274	135	357
275	136	357
276	136	356
277	137	356
278	137	355
279	138	355
280	138	355
281	139	354
282	139	353
283	140	353
284	140	352
285	141	352
286	141	351
287	141	350
288	142	350
289	142	349
290	143	348
291	143	348
292	144	347
293	144	347
294	145	346
295	145	346
296	145	345
297	146	344
298	146	344
299	147	343
300	147	342
301	148	342
302	148	341
303	149	341
304	149	340
305	150	340
306	150	339
307	150	339
308	151	338
309	151	338
310	152	337
311	152	336
312	153	336
313	153	335
314	154	335
315	154	334
316	155	334
317	155	333
318	156	333
319	156	332
320	157	332
321	157	331
322	157	331
323	158	330
324	158	329
325	159	329
326	159	328
327	160	328
328	160	327
329	161	326
330	161	326
331	161	325
332	162	325
333	162	324
334	163	324
335	163	323
336	164	323
337	164	322
338	165	321
339	165	321
340	165	320
341	166	320
342	166	319
343	167	318
344	167	318
345	168	317
346	168	317
347	169	316
348	169	316
349	170	315
350	170	315
351	170	314
352	171	314
353	171	313
354	172	312
355	172	312
356	173	311
357	173	311
358	174	310
359	174	310
360	174	309
361	175	309
362	175	308
363	176	308
364	176	307
365	177	306
366	177	306
367	178	305
368	178	305
369	178	304
370	179	304
371	179	303
372	180	303
373	180	302
374	181	302
375	181	301
376	182	301
377	182	300
378	183	300
379	183	299
380	184	299
381	184	298
382	184	297
383	185	297
384	185	296
385	186	296
386	186	295
387	187	295
388	187	294
389	188	294
390	188	293
391	189	293
392	189	292
393	189	292
394	190	291
395	190	291
396	191	290
397	191	290
398	192	289
399	192	289
400	193	288
401	193	288
402	194	287
403	194	287
404	195	286
405	195	286
406	196	285
407	196	285
408	196	284
409	197	283
410	197	283
411	198	282
412	198	282
413	199	282
414	199	281
415	200	280
416	200	280
417	201	279
418	201	279
419	201	278
420	202	278
421	202	277
422	203	277
423	203	276
424	204	276
425	204	275
426	205	275
427	205	274
428	205	274
429	206	273
430	206	273
431	207	272
432	207	271
433	208	271
434	208	270
435	208	270
436	209	269
437	209	269
438	210	268
439	210	268
440	211	267
441	211	267
442	212	266
443	212	266
444	213	265
445	213	265
446	214	264
447	214	264
448	214	263
449	215	263
450	215	262
451	216	262
452	216	261
453	217	261
454	217	260
455	218	260
456	218	259
457	219	259
458	219	258
459	219	258
460	220	257
461	220	257
462	221	256
463	221	256
464	222	255
465	222	255
466	223	254
467	223	254
468	224	253
469	224	253
470	225	252
471	225	252
472	225	251
473	226	251
474	226	250
475	227	250
476	227	249
477	228	249
478	228	248
479	229	248
480	229	247
481	230	247
482	230	246
483	230	246
484	231	245
485	231	245
486	232	244
487	232	244
488	233	243
489	233	243
490	234	242
491	234	242
492	234	241
493	235	241
494	235	240
495	236	240
496	236	239
497	237	239
498	237	238
499	238	238
500	238	237
501	239	237
502	239	236
503	240	236
504	240	235
505	241	235
506	241	234
507	242	234
